tid,geometric,kinematic,curvature,indentation,speed,acceleration
316015562,0.1273,0.0759,0.1222,0.1344,0.0908,0.0242
316015632,0.1442,0.2322,0.1273,0.1808,0.2321,0.8976
316015747,0.8292,0.0203,0.8528,0.7285,0.0265,0.0208
316015947,0.7308,0.9907,0.787,0.5094,0.989,0.9844
316016013,0.1388,0.1976,0.1273,0.1565,0.2006,0.8772
316016066,0.1315,0.0816,0.1265,0.1278,0.0954,0.0228
316016119,0.1265,0.088,0.125,0.1002,0.0996,0.0201
316016131,0.1311,1.0,0.1281,0.1028,0.9996,0.9997
316016150,0.13,0.0744,0.1253,0.1168,0.0894,0.0225
316016218,0.0667,0.781,0.073,0.2593,0.7948,0.8197
316016297,0.9938,0.0776,0.9933,0.9842,0.0911,0.0246
316016314,0.1358,0.0705,0.125,0.158,0.0883,0.019
316016328,0.7088,1.0,0.7338,0.7201,1.0,1.0
316016387,0.1388,0.0741,0.1269,0.182,0.0897,0.0232
316016415,0.1377,0.0751,0.1261,0.1709,0.0904,0.0232
316016423,0.747,0.9972,0.735,0.7182,0.9919,0.9993
316016574,0.1728,0.7593,0.1222,0.4773,0.2236,0.9675
316016654,0.7991,0.0573,0.7993,0.7425,0.0986,0.0128
316016663,0.1068,0.0253,0.1043,0.0943,0.0367,0.0111
316016669,0.1319,0.0744,0.1265,0.1352,0.0897,0.0232
316016671,0.8126,0.9213,0.8596,0.719,0.9269,0.781
316016693,0.877,0.8846,0.8497,0.9061,0.8375,0.983
316016705,0.0617,0.0367,0.0559,0.0597,0.0477,0.0114
316016831,0.1261,0.0748,0.1242,0.1028,0.0904,0.0242
316016864,0.9965,0.9918,0.9937,0.9794,0.9929,0.0173
316017005,0.1361,0.0741,0.125,0.1643,0.0887,0.028
316017034,0.8195,0.0185,0.904,0.3473,0.0283,0.0104
316017058,0.7648,0.0798,0.739,0.7466,0.1897,0.0111
316017089,0.1377,0.0719,0.1273,0.168,0.0883,0.0204
316017272,0.135,0.0741,0.1261,0.168,0.0894,0.0235
316017608,0.9942,0.078,0.9921,0.9547,0.0897,0.0242
316017616,0.125,0.0755,0.121,0.1013,0.0897,0.0249
316017817,0.7057,0.0036,0.8271,0.4832,0.011,0.0114
316017885,0.8519,0.8077,0.8985,0.7271,0.8463,0.0152
316018038,0.1373,0.0744,0.1253,0.168,0.0897,0.0235
316018252,0.8446,0.901,0.8112,0.895,0.9138,0.0142
316018437,0.9233,0.7539,0.9151,0.2622,0.7845,0.0374
316018513,0.8091,0.7318,0.8124,0.7385,0.7612,0.0149
316018604,0.0968,0.0057,0.0801,0.7182,0.0092,0.0315
316018605,0.1188,0.0734,0.1198,0.091,0.0894,0.0142
316018618,0.1315,0.0477,0.1269,0.4365,0.1127,0.0135
316018619,0.0686,0.0114,0.0678,0.6376,0.0057,0.7668
316018634,0.0926,0.005,0.0607,0.7352,0.0028,0.0737
316018756,0.1064,0.0666,0.1087,0.0814,0.0837,0.0159
316018772,0.1327,0.0734,0.1214,0.1632,0.0897,0.0242
316018801,0.8095,0.0328,0.7695,0.8608,0.0502,0.0125
316018816,0.1346,0.0755,0.1242,0.1709,0.0904,0.0239
316018825,0.1153,0.933,0.1075,0.1304,0.9382,0.0159
316018828,0.1365,0.0759,0.1265,0.1665,0.0901,0.0242
316018851,0.1654,0.036,0.119,0.7484,0.0572,0.0087
316018853,0.8442,0.0164,0.8405,0.9157,0.0247,0.0183
316018945,0.9109,0.0751,0.9548,0.0965,0.0872,0.0612
316019049,0.7817,0.0068,0.7564,0.161,0.0141,0.0097
316019198,0.8103,0.7254,0.8017,0.7731,0.7114,0.9343
316019214,0.7894,0.0046,0.8092,0.7352,0.012,0.0107
316019447,0.1334,0.0862,0.1281,0.133,0.1014,0.0142
316019526,0.0991,0.0502,0.0972,0.0818,0.065,0.0163
316019565,0.1327,0.0677,0.1277,0.1179,0.0869,0.0166
316019735,0.1257,0.2026,0.1238,0.0961,0.1773,0.9599
316019802,0.1323,0.0737,0.1269,0.1359,0.0894,0.0235
316019969,0.0706,0.0702,0.0504,0.1175,0.0841,0.0343
316020067,0.1018,0.0573,0.09,0.1175,0.0795,0.0128
316020226,0.1843,0.0805,0.1785,0.1617,0.0936,0.0218
316020711,0.1018,0.8088,0.1027,0.0899,0.852,0.0256
316020762,0.1369,0.0723,0.1261,0.1709,0.0865,0.0187
316020789,0.0933,0.0748,0.7501,0.0759,0.0897,0.0239
316020868,0.1176,0.9989,0.1079,0.1554,0.9855,0.9997
316020871,0.737,0.9797,0.1107,0.7691,0.9707,0.9907
316020878,0.6294,0.641,0.0563,0.7378,0.7178,0.0125
316020998,0.1169,0.9972,0.1099,0.1042,0.9929,0.9993
316021078,0.0841,0.0755,0.0635,0.1215,0.0904,0.0356
316021247,0.1145,0.0755,0.1023,0.1643,0.0897,0.0249
316021258,0.1095,0.0588,0.1079,0.0792,0.0756,0.0256
316021259,0.8477,0.75,0.885,0.0692,0.7799,0.0526
316021279,0.14,0.0908,0.1281,0.1691,0.1169,0.0118
316021301,0.1354,0.0759,0.123,0.1786,0.089,0.0235
316021304,0.125,0.0769,0.0976,0.2099,0.0904,0.0239
316021351,0.1365,0.0937,0.1277,0.1341,0.1162,0.0114
316021382,0.1203,0.1026,0.1166,0.0913,0.1144,0.0426
316021448,0.8268,0.7582,0.8322,0.7333,0.7785,0.01
316021493,0.7813,0.0093,0.7366,0.7772,0.017,0.0093
316021519,0.816,0.9576,0.8211,0.7897,0.9657,0.0131
316021521,0.8824,0.031,0.9349,0.5024,0.0512,0.0142
316021522,0.1331,0.0741,0.125,0.151,0.0887,0.0225
316021584,0.1427,0.0719,0.1265,0.1753,0.0876,0.0228
316021597,0.2264,0.9986,0.115,0.9698,0.9979,0.9993
316021661,0.0814,0.0292,0.0698,0.4611,0.0484,0.0277
316021724,0.9186,0.0755,0.9068,0.112,0.0908,0.0246
316021756,0.1238,0.0748,0.121,0.0991,0.0897,0.0253
316021813,0.135,0.0741,0.1273,0.1705,0.0897,0.0235
316021988,0.1323,0.0673,0.1277,0.1168,0.0865,0.0201
316022013,0.8272,0.9138,0.8064,0.867,0.9255,0.0118
316022028,0.1423,0.109,0.1468,0.1123,0.1371,0.0204
316022036,0.0937,0.0153,0.0837,0.5444,0.0191,0.0118
316022038,0.1161,0.0075,0.1035,0.4317,0.0131,0.0118
316022149,0.1234,0.0694,0.1265,0.0869,0.0858,0.019
316022242,0.1388,0.0349,0.1491,0.0858,0.0434,0.0225
316022277,0.9961,0.0769,0.9921,0.9919,0.0904,0.0253
316022287,0.1365,0.0744,0.1246,0.1761,0.0894,0.0232
316022344,0.8442,0.0032,0.7842,0.8917,0.0064,0.019
316022428,0.8064,0.0096,0.7925,0.7941,0.0124,0.0183
316022435,0.0856,0.0769,0.0317,0.1831,0.0904,0.0273
316022498,0.1361,0.0826,0.1277,0.1263,0.0975,0.0329
316022594,0.1354,0.0737,0.125,0.165,0.0897,0.0235
316022604,0.1504,0.0801,0.1559,0.1366,0.0936,0.0225
316022832,0.8218,0.6852,0.7997,0.856,0.7333,0.0093
316023196,0.8002,0.1574,0.7941,0.7831,0.7407,0.0125
316023226,0.1292,0.0741,0.1246,0.1201,0.0887,0.0239
316023397,0.128,0.0734,0.125,0.1164,0.0887,0.0246
316023437,0.1358,0.0737,0.1273,0.1308,0.0925,0.0125
316023452,0.1365,0.0691,0.1277,0.1687,0.0841,0.0166
316023466,0.8326,0.0089,0.756,0.8873,0.0205,0.0114
316023605,0.1223,0.0121,0.1023,0.3374,0.0201,0.0228
316023608,0.0833,0.0609,0.0758,0.0877,0.0781,0.0138
316023644,0.1211,0.0741,0.1246,0.0843,0.0901,0.0235
316023734,0.8693,0.015,0.906,0.3867,0.0191,0.0152
316023736,0.8319,0.1371,0.8179,0.8648,0.7142,0.0128
316023761,0.1307,0.0759,0.1226,0.1606,0.0894,0.0242
316023763,0.1354,0.0748,0.1246,0.1654,0.0901,0.0239
316023817,0.759,0.0495,0.7699,0.7223,0.0717,0.037
316023824,0.7937,0.9968,0.7862,0.7551,0.9972,0.7166
316023833,0.914,0.9947,0.8493,0.9713,0.9947,0.0135
316023846,0.9256,0.036,0.9568,0.1208,0.0509,0.0221
316023892,0.1265,0.1029,0.125,0.0965,0.088,0.945
316023929,0.1246,0.1428,0.1174,0.144,0.1402,0.3896
316023966,0.7771,0.0118,0.7481,0.7392,0.0272,0.0142
316023967,0.1342,0.0751,0.125,0.1562,0.0887,0.0246
316024023,0.8307,0.9808,0.8338,0.7783,0.9802,0.8927
316024197,0.1377,0.0741,0.125,0.1727,0.0887,0.0218
316024204,0.113,0.0538,0.1131,0.0994,0.065,0.0325
316024208,0.8145,0.802,0.8116,0.8004,0.8379,0.1626
316024235,0.7115,0.0053,0.6807,0.7315,0.0102,0.0107
316024411,0.7833,0.0242,0.9167,0.1138,0.0321,0.01
316024446,0.0698,0.0153,0.0694,0.3808,0.0279,0.0073
316024554,0.7759,0.0139,0.7886,0.7094,0.0159,0.1453
316024578,0.1327,0.9975,0.1091,0.6379,0.9961,0.9993
316024662,0.1269,0.0751,0.125,0.1072,0.0894,0.0239
316024728,0.1373,0.0748,0.1261,0.1705,0.0904,0.0235
316024764,0.1342,0.0538,0.1456,0.0814,0.0653,0.0401
316024809,0.1176,0.0684,0.125,0.0508,0.0872,0.0166
316024871,0.1257,0.9758,0.1265,0.0902,0.9396,0.9972
316024872,0.8619,0.031,0.8429,0.9315,0.0378,0.0176
316024998,0.1049,0.0516,0.1051,0.0807,0.0689,0.0201
316025097,0.135,0.0759,0.1242,0.1683,0.0908,0.0239
316025141,0.1381,0.1652,0.1242,0.1613,0.1572,0.3204
316025273,0.086,0.0039,0.0551,0.3536,0.0035,0.0997
316025398,0.973,0.9811,0.925,0.9797,0.9855,0.026
316025599,0.1304,0.0737,0.1257,0.1157,0.089,0.0235
316025662,0.8627,0.9694,0.8068,0.9573,0.9753,0.0173
316025779,0.1261,0.0726,0.1273,0.0877,0.088,0.0239
316025789,0.1315,0.0755,0.1186,0.1772,0.0894,0.0235
316025811,0.8554,0.9712,0.8445,0.7812,0.9724,0.8429
316025921,0.1149,0.0687,0.115,0.0902,0.0897,0.0225
316026048,0.13,0.0744,0.1246,0.1252,0.0897,0.0239
316026056,0.1084,0.073,0.1079,0.0969,0.0894,0.0246
316026058,0.135,0.0748,0.1246,0.168,0.0897,0.0235
316026125,0.125,0.0737,0.125,0.0906,0.0883,0.0239
316026158,0.1377,0.0751,0.1238,0.1871,0.089,0.0235
316026173,0.2846,0.0712,0.927,0.1341,0.0904,0.017
316026257,0.1377,0.0723,0.1273,0.1724,0.088,0.0211
316026277,0.8376,0.9947,0.8183,0.74,0.9943,0.9952
316026278,0.688,0.015,0.7557,0.6276,0.0166,0.019
316026293,0.7393,0.9512,0.8033,0.4453,0.9092,0.9834
316026297,0.7875,0.963,0.8001,0.681,0.9562,0.9294
316026464,0.1161,0.0064,0.0893,0.723,0.0064,0.0481
316026468,0.9279,0.0805,0.9504,0.1867,0.675,0.0187
316026483,0.2865,0.9982,0.125,0.979,0.9972,0.9993
316026565,0.1331,0.0741,0.1273,0.1322,0.089,0.0246
316026666,0.1076,0.0762,0.1071,0.0976,0.0897,0.0391
316026832,0.1192,0.0723,0.1134,0.1495,0.088,0.0218
316026877,0.1334,0.0716,0.1198,0.1628,0.088,0.0211
316026937,0.1369,0.0737,0.1269,0.1702,0.0897,0.0235
316026989,0.7698,0.0203,0.7894,0.7451,0.0254,0.0149
316027000,0.1184,0.058,0.1246,0.0759,0.0749,0.0215
316027061,0.1384,0.0744,0.1269,0.1812,0.0901,0.0228
316027199,0.1138,0.089,0.1099,0.1079,0.0978,0.0522
316027369,0.1454,0.9206,0.092,0.7392,0.9311,0.0114
316027405,0.9938,0.9323,0.9937,0.9639,0.9421,0.1606
316027411,0.9248,0.0648,0.904,0.2015,0.0777,0.0208
316027479,0.9931,0.0751,0.9905,0.9805,0.0897,0.0249
316027548,0.1338,0.0801,0.1222,0.1429,0.0957,0.0325
316027563,0.1207,0.0694,0.1246,0.0799,0.0844,0.0225
316027599,0.1327,0.0744,0.123,0.168,0.0901,0.0232
316027654,0.1496,0.0751,0.1186,0.2571,0.0901,0.0235
316027733,0.1257,0.0207,0.1281,0.0924,0.0304,0.0076
316027734,0.1292,0.0271,0.1281,0.1002,0.0381,0.0128
316027744,0.902,0.0338,0.8862,0.7554,0.0699,0.0093
316027782,0.13,0.0751,0.1238,0.1414,0.0897,0.0242
316027848,0.0926,0.0078,0.0936,0.1017,0.0117,0.0121
316027855,0.1373,0.0755,0.125,0.1702,0.0901,0.0246
316027951,0.8099,0.6887,0.7997,0.7945,0.7397,0.018
316028179,0.1554,0.1214,0.1535,0.1042,0.195,0.0152
