tid,geometric,kinematic,curvature,indentation,speed,acceleration
1902231N18086,0.1782,0.0435,0.1163,0.2154,0.054,0.0455
1902232N18114,0.1713,0.0892,0.1026,0.2569,0.0659,0.3673
1902236N20088,0.1573,0.1526,0.1147,0.1798,0.1902,0.0399
1902241N21123,0.1002,0.1996,0.0999,0.1042,0.2314,0.1173
1902244N21088,0.1994,0.7698,0.1142,0.2607,0.8219,0.1074
1902245N22133,0.1628,0.1619,0.1204,0.1863,0.2244,0.0714
1902249N23132,0.996,0.9957,0.996,0.3102,0.9956,0.3728
1902259N08329,0.1121,0.7138,0.0331,0.1703,0.7811,0.0553
1902264N18126,0.15,0.0472,0.1173,0.1605,0.0453,0.2191
1902266N18090,0.12,0.0584,0.104,0.1378,0.0596,0.1112
1902270N21122,0.996,0.9997,0.996,0.3419,0.9997,0.2387
1902270N27144,0.996,0.2,0.996,0.5832,0.2551,0.1275
1902276N14266,0.0626,0.5622,0.0623,0.029,0.684,0.1362
1902279N26134,0.996,0.3986,0.996,0.2657,0.3579,0.7847
1902287N14064,0.089,0.2448,0.086,0.1316,0.2961,0.0298
1902300N09085,0.1674,0.1187,0.1174,0.199,0.1705,0.0491
1902301N11065,0.1068,0.1792,0.0848,0.1354,0.2157,0.0339
1902305N20293,0.0746,0.0741,0.0752,0.0778,0.148,0.0107
1902305S14061,0.0938,0.2138,0.0973,0.064,0.2568,0.0368
1902305S15061,0.0985,0.1797,0.0966,0.0859,0.2088,0.0787
1902312N14132,0.1151,0.982,0.1082,0.1322,0.9441,0.9873
1902313S15059,0.088,0.2331,0.0907,0.0493,0.2299,0.3165
1902335S09065,0.041,0.0985,0.036,0.0139,0.1158,0.0419
1902335S09425,0.0523,0.0803,0.0448,0.0267,0.0909,0.0406
1902341N09063,0.0889,0.079,0.07,0.1215,0.0852,0.1001
1902343S09065,0.0914,0.0661,0.0444,0.1381,0.072,0.0434
1902345S17059,0.1531,0.1957,0.11,0.1764,0.2256,0.0951
1902355S17060,0.9906,0.1914,0.989,0.9397,0.1935,0.211
1903010S11057,0.1248,0.1229,0.0728,0.1562,0.1176,0.148
1903010S13063,0.1164,0.2292,0.101,0.1375,0.2707,0.0947
1903010S13125,0.8126,0.0761,0.975,0.0117,0.0797,0.0473
1903011S10058,0.0645,0.1349,0.0516,0.0375,0.1595,0.0268
1903011S11057,0.1239,0.1271,0.0728,0.1533,0.1117,0.2231
1903011S12064,0.9988,0.6167,0.9995,0.9238,0.5444,0.9153
1903021S11064,0.1253,0.3371,0.1137,0.6242,0.164,0.999
